lemma,current_sense_key,corpus_upos,proposed_sense_key,confidence,reason
ainmmnid,nominative%3:01:00::,NOUN,nominative%1:10:00::,high,"exact grammatical-case noun sense; already an independently-accepted sibling row for this lemma"
aittrebthach,possessive%1:10:00::,ADJ,possessive%3:01:00::,high,"merges with the already-corrected sibling row (see sense_corrections.csv) - same lemma, same underlying case concept, now split correctly by usage (aittrebthach=adjectival, genitiu=nominal)"
arsaid,ancient%1:18:00::,ADJ,ancient%5:00:00:old:02,medium,"no accepted sibling row exists; closest adjective sense of ""ancient"" available"
comṡuidigthe,compound%1:09:00::,ADJ,compound%3:00:00::,high,"merges with the already-corrected sibling row (see sense_corrections.csv)"
cosmail,alike%4:02:00::,ADJ,alike%3:00:00::,high,"exact adjective sense of ""alike"""
cummae,same%3:00:02::,NOUN,,n/a,"""same"" has no noun sense in English WordNet at all - would need a different English word (e.g. ""identity"" or ""sameness""), not a different sense of ""same"""
césad,passive%3:00:01::,NOUN,passive%1:24:00::,medium,"reconsider: this reverts to the noun ""passive voice"" sense over the adjective one chosen during the sense_corrections.csv review - corpus tags césad NOUN here, and no other passive-related noun sense exists. Applies to both césad/passive rows (they already share this target)."
cétnaide,primitive%1:10:00::,ADJ,primitive%5:00:01:early:02,low,"merges with an already-accepted sibling row; semantic fit (""little evolved from an earlier ancestral type"") is a stretch for the intended ""root/primitive word"" linguistic sense, but it's the closest adjective available and this lemma was already flagged low-confidence"
dechor,distinguish%2:31:00::,NOUN,difference%1:07:00::,high,"merges with an already-accepted sibling row (dechor is independently accepted for both difference%1:07:00:: and distinction%1:09:00::; either works, picked the first)"
díṡruthigthe,derivative%1:10:00::,ADJ,derivative%5:00:00:derived:00,medium,"exact adjectival counterpart of the corrected noun sense (see sense_corrections.csv); also proposed below for díṡruthigthe's other accepted row so both merge into one group"
díṡruthigthe,derive%2:30:01::,ADJ,derivative%5:00:00:derived:00,medium,"""derive"" itself has no adjective sense; redirecting to the same derivative%5:00:00:derived:00 target as díṡruthigthe's other row merges them into one group instead of leaving two"
fochslaid,ablative%3:01:00::,NOUN,ablative%1:10:00::,high,"exact grammatical-case noun sense"
frecndairc,present%1:28:00::,ADJ,present%3:00:01::,high,"merges with an already-accepted sibling row, and matches the annotator's own note that this is really about present tense"
genitiu,genitive%3:01:00::,NOUN,genitive%1:10:00::,high,"merges with an already-accepted sibling row"
gním,active%3:00:09::,NOUN,action%1:26:00::,medium,"reconsider: redirects to an already-accepted noun sibling row (""the state of being active"") instead of the adjective ""actor"" sense chosen during the sense_corrections.csv review - corpus tags gním NOUN here"
grácad,croak%2:32:01::,NOUN,croak%1:10:00::,high,"exact noun sense of ""croak"""
gréc,greek%3:01:01::,NOUN,greek%1:10:00::,medium,"no accepted sibling row; ""the Hellenic branch of Indo-European languages"" fits a grammatical-glosses corpus better than the other noun sense (""a native or inhabitant of Greece"")"
ilar,plural%3:00:00::,NOUN,plural%1:10:00::,high,"merges with an already-accepted sibling row"
inchosc,signify%2:32:02::,NOUN,,n/a,"""signify"" has no noun sense in English WordNet - would need a different English word (e.g. ""signification""/""expression""), not a different sense of ""signify"""
léigend,read%2:31:00::,NOUN,,n/a,"no noun sense of ""read"" fits (they're about the object read, not the act of reading/studying) - would need a different English word"
sainred,peculiar%5:00:00:specific:00,NOUN,peculiarity%1:07:02::,high,"merges with an already-accepted sibling row (different headword, ""peculiarity"" not ""peculiar"", but same underlying concept)"
sechmadachte,preterite%1:24:00::,ADJ,,n/a,"""preterite"" has only one sense in English WordNet at all (this noun one) - no adjective alternative exists"
slond,signify%2:32:02::,NOUN,,n/a,"""signify"" has no noun sense in English WordNet - same issue as inchosc"
taidbsiu,show%2:31:00::,NOUN,,n/a,"no noun sense of ""show"" fits well (they're about performances/pretense/impressions, not the act of demonstrating) - would need a different English word"
éicen,necessary%3:00:00::,NOUN,necessary%1:17:00::,medium,"the annotator's own notes on both éicen rows already say this is really the noun ""necessity"", accepted as an adjective only because of how it's used with the copula in this corpus - corpus upos agrees it's a noun"
éicen,necessary%5:00:00:inevitable:00,NOUN,necessary%1:17:00::,medium,"same as éicen's other row - both merge into the same noun sense"
